prices,market_cap,time,volumes
19159.157029772898,367583959869.2339,2022-10-23 14:01:55.188,12937727911.394499
19191.032018269118,368306900225.22424,2022-10-23 15:02:14.539,13010275039.657623
19187.355913963704,368160487559.881,2022-10-23 16:00:20.275,12979721267.926275
19189.650925966234,368204354637.476,2022-10-23 17:02:25.866,12737820458.663485
19270.757718768746,368973102723.946,2022-10-23 18:01:25.042,13293682279.111067
19440.59089857329,373394637260.2044,2022-10-23 19:00:37.541,15247228372.908663
19484.67555997737,373778581193.4977,2022-10-23 20:01:16.585,15562060555.636383
19487.97949117075,373284448934.63837,2022-10-23 21:02:18.263,16167209073.926163
19480.613211589334,373581313631.31274,2022-10-23 22:00:05.187,16646681759.642702
19631.765116538194,376623989083.26685,2022-10-23 23:01:24.446,18518936315.300373
19574.824231840797,375197423662.3941,2022-10-24 00:02:18.407,19928822961.41621
19523.925287327496,374887589781.8311,2022-10-24 01:01:24.774,20679346902.87283
19397.864155825613,372400802423.17786,2022-10-24 02:02:32.156,21720964483.33033
19453.323421472585,373265809105.0804,2022-10-24 03:01:28.014,22294332828.31635
19392.06179827693,372173707094.02075,2022-10-24 04:00:18.785,22948156284.43237
19308.58758313927,370460919235.911,2022-10-24 05:01:27.486,23459601466.72095
19324.856554251972,370827887730.8158,2022-10-24 06:02:23.767,24024910016.611275
19344.40199029475,371210635347.08514,2022-10-24 07:01:14.517,24447132060.422775
19294.53762454735,370138409623.5438,2022-10-24 08:03:09.067,25608455775.04512
19339.94011206038,370732906248.48755,2022-10-24 09:01:18.194,26170055996.791473
19365.825956725577,371457221660.6015,2022-10-24 10:02:23.508,26716257587.59765
19381.156335687832,372759865734.78784,2022-10-24 11:01:09.234,27831820073.3866
19445.525176709027,373217544754.4304,2022-10-24 12:00:30.567,28379929719.558033
19357.662700889403,371375050346.8922,2022-10-24 13:02:18.684,29082414562.43175
19377.108301670345,370620075935.70917,2022-10-24 14:01:25.303,30384401334.088234
19260.457427469257,369170882764.2914,2022-10-24 15:00:21.242,32251535525.303333
19298.522499827588,369893150417.8174,2022-10-24 16:03:13.487,33195847350.094994
19275.5170688192,369857421531.781,2022-10-24 17:02:19.646,33619426905.86783
19290.976376002993,369564431021.8893,2022-10-24 18:01:56.757,32996094820.367992
19323.535606343114,370877078366.8717,2022-10-24 19:01:03.582,31725561030.58243
19338.21954455155,371608741622.1967,2022-10-24 20:01:09.906,31970028157.32846
19348.282096173825,371249587556.1667,2022-10-24 21:01:15.536,31595599314.62102
19363.83479186489,371424517358.33057,2022-10-24 22:01:03.274,31493115893.218845
19350.700573130875,371363081969.52234,2022-10-24 23:02:16.212,29937101603.090195
19316.94062294213,370622833880.7626,2022-10-25 00:00:08.666,28657172008.9177
19327.103330183803,370819747934.1075,2022-10-25 01:01:43.950,28138295927.61912
19299.98826751201,370480927160.8753,2022-10-25 02:00:04.554,27343844201.41689
19297.16326285081,370240846321.67926,2022-10-25 03:02:18.294,27076206428.694798
19341.12698783663,371505120704.3131,2022-10-25 04:01:53.019,26756014281.302795
19337.911981543893,371083452808.77313,2022-10-25 05:01:33.251,26124270706.07891
19325.509905402632,370784370271.55853,2022-10-25 06:01:37.285,25623615633.417797
19331.151712503324,371162022716.3806,2022-10-25 07:01:09.440,25422998942.586117
19298.580174703384,370367829324.6591,2022-10-25 08:01:31.517,24464617565.47395
19303.137381114342,370435369250.5593,2022-10-25 09:00:49.735,24105728756.446064
19278.628402980143,369960768188.0535,2022-10-25 10:01:20.196,24122775859.596897
19285.602556850554,370049985965.55084,2022-10-25 11:01:58.122,21989397527.917145
19304.731979883796,370638561531.854,2022-10-25 12:01:33.388,21385920142.06825
19294.532922750837,370241366235.1971,2022-10-25 13:00:20.762,20887370753.968327
19433.055587085553,372655429354.76373,2022-10-25 14:02:06.310,21737517867.6771
19474.98930155096,373754827901.60626,2022-10-25 15:02:15.421,21669970613.761627
19911.706066380186,377693475461.8226,2022-10-25 16:02:33.520,24058636515.39032
19760.326656193,379142060297.50134,2022-10-25 17:01:26.371,25500897667.58844
20045.499175515517,384464282802.60486,2022-10-25 18:00:37.102,29332429857.962093
20295.75489657272,389580806811.5506,2022-10-25 19:01:56.366,33872228419.757656
20218.874995039227,387582730747.91504,2022-10-25 20:02:41.672,35658930860.38748
20146.820945638334,384915645522.0784,2022-10-25 21:02:04.202,37957768041.53433
